"temp" "biog"
26.15 178
23.72 148
25.87 162
24.85 132
24.99 150
24.08 166
25.85 131
26.11 153
26.94 132
26.54 159
23.84 180
24.99 136
24.53 173
25.12 160
25.75 173
23.67 167
25.2 167
26.98 153
23.82 162
25.49 144
25.45 160
24.09 177
25.1 133
25.63 165
24.73 143
24.84 162
26 136
24.64 159
25.52 163
24.9 139
24.97 160
24.42 167
25.65 152
23.67 136
26.1 157
24.52 159
24.58 167
25.03 170
25.79 159
25.15 134
25.95 133
25.35 172
25.02 166
26.97 161
25.05 139
25.41 131
25.65 139
24.22 169
23.94 160
23.57 152
24.4 151
25.45 165
